strike,maturity,vol,type,in_the_money,price,vega,status,implied_vol,rel_vol_error,noise_bound
50,0.0027397260273972603,0.050000000000000003,call,1,50.001369731661264,0,zero_time_value,0,1,inf
50,0.0027397260273972603,0.050000000000000003,put,0,0,0,zero_time_value,0,1,-nan
50,0.0027397260273972603,0.10000000000000001,call,1,50.001369731661264,0,zero_time_value,0,1,inf
50,0.0027397260273972603,0.10000000000000001,put,0,0,0,zero_time_value,0,1,-nan
50,0.0027397260273972603,0.20000000000000001,call,1,50.001369731661264,0,zero_time_value,0,1,inf
50,0.0027397260273972603,0.20000000000000001,put,0,0,0,zero_time_value,0,1,-nan
50,0.0027397260273972603,0.5,call,1,50.001369731661264,6.6787715860207359e-153,zero_time_value,0,1,7.0139793601609294e+141
50,0.0027397260273972603,0.5,put,0,4.7396508439454936e-156,6.6787715860207359e-153,ok,0.49999999999995792,8.4154905266586866e-14,4.5011906828854426e-13
50,0.0027397260273972603,1,call,1,50.001369731661264,1.2104680797632392e-38,zero_time_value,0,1,4.8724221036518241e+26
50,0.0027397260273972603,1,put,0,6.7866759964025036e-41,1.2104680797632392e-38,ok,1.0000000000000027,2.6645352591003757e-15,1.1303445801567726e-13
50,0.019178082191780823,0.050000000000000003,call,1,50.009582606085537,0,zero_time_value,0,1,inf
50,0.019178082191780823,0.050000000000000003,put,0,0,0,zero_time_value,0,1,-nan
50,0.019178082191780823,0.10000000000000001,call,1,50.009582606085537,0,zero_time_value,0,1,inf
50,0.019178082191780823,0.10000000000000001,put,0,0,0,zero_time_value,0,1,-nan
50,0.019178082191780823,0.20000000000000001,call,1,50.009582606085537,2.75847314214689e-136,zero_time_value,0,1,3.7943009446039969e+125
50,0.019178082191780823,0.20000000000000001,put,0,8.7572173660150791e-140,2.75847314214689e-136,ok,0.20000000000000001,0,4.0215403436561209e-13
50,0.019178082191780823,0.5,call,1,50.009582606085537,6.4153963132008402e-22,zero_time_value,0,1,10589142931.524731
50,0.019178082191780823,0.5,put,0,3.1063519139278849e-24,6.4153963132008402e-22,ok,0.50000000000001077,2.1538326677728037e-14,6.4913199002467465e-14
50,0.019178082191780823,1,call,1,50.009583106325628,1.3949323085634006e-05,ok,1.0000000001744964,1.7449641731559495e-10,6.3917775370505639e-08
50,0.019178082191780823,1,put,0,5.002400886939466e-07,1.3949323085634006e-05,ok,1.0000000000000033,3.3306690738754696e-15,1.6756838662044283e-14
50,0.082191780821917804,0.050000000000000003,call,1,50.040977784957448,0,zero_time_value,0,1,inf
50,0.082191780821917804,0.050000000000000003,put,0,0,0,zero_time_value,0,1,-nan
50,0.082191780821917804,0.10000000000000001,call,1,50.040977784957448,2.3474899426324773e-127,zero_time_value,0,1,8.3457331836205345e+116
50,0.082191780821917804,0.10000000000000001,put,0,3.9766616304753327e-131,2.3474899426324773e-127,ok,0.10000000000000001,0,3.7606931622505526e-13
50,0.082191780821917804,0.20000000000000001,call,1,50.040977784957448,1.0539138904617751e-31,zero_time_value,0,1,2.3437326428079063e+20
50,0.082191780821917804,0.20000000000000001,put,0,1.4071705102478809e-34,1.0539138904617751e-31,ok,0.20000000000000001,0,9.4522948843446e-14
50,0.082191780821917804,0.5,call,1,50.040978997611511,6.3756136561541268e-05,ok,0.49999999997171501,5.6569970929842839e-11,2.6285999579654041e-08
50,0.082191780821917804,0.5,put,0,1.212654064302293e-06,6.3756136561541268e-05,ok,0.50000000000000011,2.2204460492503131e-16,1.5715034294703672e-14
50,0.082191780821917804,1,call,1,50.091829690611291,0.42390540573919538,ok,0.99999999999998868,1.1324274851176597e-14,5.9137255678496815e-13
50,0.082191780821917804,1,put,0,0.050851905653847895,0.42390540573919538,ok,1,0,4.5004671606354062e-15
50,0.25,0.050000000000000003,call,1,50.123909498789089,6.3644313883117037e-169,zero_time_value,0,1,8.1461465371516153e+158
50,0.25,0.050000000000000003,put,0,4.0649246709844664e-173,6.3644313883117037e-169,ok,0.050000000000000003,0,4.967307911783187e-13
50,0.25,0.10000000000000001,call,1,50.123909498789089,6.4745243338485343e-42,zero_time_value,0,1,1.0074812327255184e+31
50,0.25,0.10000000000000001,put,0,3.2710610782831519e-45,6.4745243338485343e-42,ok,0.10000000000000001,0,1.2468685863369254e-13
50,0.25,0.20000000000000001,call,1,50.123909498790496,3.6533243199944701e-10,ok,0.19997718755436722,0.00011406222816395806,0.022897798199839375
50,0.25,0.20000000000000001,put,0,1.4151856176801128e-12,3.6533243199944701e-10,ok,0.20000000000000001,0,3.1687829918973176e-14
50,0.25,0.5,call,1,50.137542433351285,0.28207634891710692,ok,0.49999999999997796,4.4075854077618715e-14,2.2317849378791371e-12
50,0.25,0.5,put,0,0.01363293456220202,0.28207634891710692,ok,0.50000000000000033,6.6613381477509392e-16,5.6957229708031871e-15
50,0.25,1,call,1,51.39602047738348,5.1317252592809171,ok,0.99999999999999978,2.2204460492503131e-16,2.2402163279975555e-14
50,0.25,1,put,0,1.27211097859439,5.1317252592809171,ok,0.999999999999999,9.9920072216264089e-16,2.0229109456338633e-15
50,1,0.050000000000000003,call,1,50.482706697491395,1.8491467807817628e-43,zero_time_value,0,1,7.2682984591272145e+32
50,1,0.050000000000000003,put,0,4.479469683296801e-47,1.8491467807817628e-43,ok,0.050000000000000003,0,1.273510859776276e-13
50,1,0.10000000000000001,call,1,50.482706697491864,2.4975592011254045e-10,ok,0.10001716945746793,0.00017169457467922089,0.068954705698512864
50,1,0.10000000000000001,put,0,4.6465125928370566e-13,2.4975592011254045e-10,ok,0.10000000000000001,0,3.2352901298431833e-14
50,1,0.20000000000000001,call,1,50.48332684320367,0.047711720343886342,ok,0.19999999999991988,4.0065173401160337e-13,4.9554290429072485e-11
50,1,0.20000000000000001,put,0,0.00062014571227947575,0.047711720343886342,ok,0.20000000000000001,0,8.633538154791365e-15
50,1,0.5,call,1,51.655277240252317,9.6915101522203742,ok,0.50000000000000056,1.1102230246251565e-15,2.4153720628558114e-14
50,1,0.5,put,0,1.1725705427609174,9.6915101522203742,ok,0.49999999999999994,1.1102230246251565e-16,2.0459747874212337e-15
50,1,1,call,1,59.50715828025929,18.922820204182223,ok,0.99999999999999989,1.1102230246251565e-16,3.5928474391672252e-15
50,1,1,put,0,9.0244515827678971,18.922820204182223,ok,0.99999999999999989,1.1102230246251565e-16,1.1300909562455938e-15
50,2,0.050000000000000003,call,1,50.931640651463091,1.7367227536661732e-22,zero_time_value,0,1,405316784346.09863
50,2,0.050000000000000003,put,0,7.8622257216485439e-26,1.7367227536661732e-22,ok,0.050000000000000003,0,6.5790823712181909e-14
50,2,0.10000000000000001,call,1,50.931640839371774,5.5791554320748965e-05,ok,0.099999999839625237,1.6037476902042158e-09,1.6524663392307003e-07
50,2,0.10000000000000001,put,0,1.8790869133944571e-07,5.5791554320748965e-05,ok,0.10000000000000001,0,1.6973023854084241e-14
50,2,0.20000000000000001,call,1,50.960248106690955,1.3189378129631892,ok,0.20000000000000598,2.9837243786801082e-14,1.0304491289823429e-12
50,2,0.20000000000000001,put,0,0.028607455227855627,1.3189378129631892,ok,0.20000000000000001,0,4.8065706542417771e-15
50,2,0.5,call,1,54.514760284487934,21.035823481213377,ok,0.50000000000000022,4.4408920985006262e-16,7.9876501104059757e-15
50,2,0.5,put,0,3.5831196330248432,21.035823481213377,ok,0.50000000000000022,4.4408920985006262e-16,1.4418432263703399e-15
50,2,1,call,1,67.198753083681666,26.097915772823843,ok,0.99999999999999978,2.2204460492503131e-16,2.5047968206168294e-15
50,2,1,put,0,16.267112432218575,26.097915772823843,ok,0.99999999999999978,2.2204460492503131e-16,1.0281359354450119e-15
50,5,0.050000000000000003,call,1,52.087543628819162,6.7218771105305031e-10,ok,0.050022151415392263,0.00044302830784520575,0.047575687071251593
50,5,0.050000000000000003,put,0,6.3153683146404787e-13,6.7218771105305031e-10,ok,0.050000000000000003,0,2.8859311581768384e-14
50,5,0.10000000000000001,call,1,52.088232907847086,0.10511529521417259,ok,0.10000000000001449,1.4488410471358293e-13,4.1981212572261295e-11
50,5,0.10000000000000001,put,0,0.00068927902856888781,0.10511529521417259,ok,0.10000000000000001,0,7.7552655553434664e-15
50,5,0.20000000000000001,call,1,52.515820581518902,11.549832025843326,ok,0.1999999999999994,3.0531133177191805e-15,6.4177247348396248e-14
50,5,0.20000000000000001,put,0,0.42827695270039357,11.549832025843326,ok,0.20000000000000001,0,2.5169852579608099e-15
