case,scheme,steps,dt,price,std_error,exact,bias,bias_over_se
feller_t1_k100,qe,1,1,10.361497061361653,0.0085536817057648897,10.394218565150176,-0.032721503788522455,-3.8254292027805148
feller_t1_k100,euler,1,1,10.437351885769269,0.010151256955573538,10.394218565150176,0.043133320619093141,4.2490620430419535
feller_t1_k100,qe,2,0.5,10.448355635198903,0.0085307464338604463,10.394218565150176,0.054137070048726699,6.3461117345891944
feller_t1_k100,euler,2,0.5,10.637355011688211,0.0091126166605062786,10.394218565150176,0.24313644653803479,26.681298642987866
feller_t1_k100,qe,4,0.25,10.406852329610938,0.0084801006277640759,10.394218565150176,0.012633764460762364,1.4898130358735464
feller_t1_k100,euler,4,0.25,10.465339071189671,0.008638967748047283,10.394218565150176,0.071120506039495268,8.2325236201479122
feller_t1_k100,qe,8,0.125,10.414903855295631,0.008459800116173942,10.394218565150176,0.020685290145454616,2.4451275280023772
feller_t1_k100,euler,8,0.125,10.425615859289231,0.0085052824537084869,10.394218565150176,0.031397294139054566,3.6915051686925069
feller_t1_k100,qe,16,0.0625,10.387021004228043,0.0084509981799960263,10.394218565150176,-0.0071975609221333059,-0.85168175034877247
feller_t1_k100,euler,16,0.0625,10.394523358191066,0.0084703482957597456,10.394218565150176,0.00030479304088970594,0.035983531048219733
feller_t1_k100,qe,32,0.03125,10.386502973557102,0.0084522586251426432,10.394218565150176,-0.0077155915930742225,-0.91284376582170801
feller_t1_k100,euler,32,0.03125,10.388674197481411,0.0084593404188794581,10.394218565150176,-0.0055443676687652044,-0.65541370771547969
feller_t1_k100,qe,64,0.015625,10.403997249521478,0.008456743628097842,10.394218565150176,0.0097786843713016935,1.1563179400179113
feller_t1_k100,euler,64,0.015625,10.405239692093916,0.0084609180341197569,10.394218565150176,0.011021126943740356,1.3025923309144731
andersen_t10_k100,qe,10,1,14.102364230566394,0.008948433741087794,13.084670137000783,1.0176940935656109,113.72873991263386
andersen_t10_k100,euler,10,1,19.479678118294572,0.020275495028321263,13.084670137000783,6.395007981293789,315.40576308302707
andersen_t10_k100,qe,20,0.5,13.408866891335743,0.00911631417908562,13.084670137000783,0.32419675433495954,35.562262112326295
andersen_t10_k100,euler,20,0.5,16.773936327375637,0.014479803267178983,13.084670137000783,3.6892661903748536,254.78703835273944
andersen_t10_k100,qe,40,0.25,13.127482035920313,0.0091848373192446979,13.084670137000783,0.042811898919529412,4.6611493956269641
andersen_t10_k100,euler,40,0.25,15.120685670862111,0.01167976197356731,13.084670137000783,2.0360155338613275,174.31995090902302
andersen_t10_k100,qe,80,0.125,13.064681172211303,0.0091964152057703846,13.084670137000783,-0.019988964789479979,-2.1735604952827381
andersen_t10_k100,euler,80,0.125,14.134992275275071,0.010342610290173311,13.084670137000783,1.0503221382742876,101.55290674272203
andersen_t10_k100,qe,160,0.0625,13.084715975758009,0.0092147474297062781,13.084670137000783,4.5838757225524773e-05,0.004974499580721106
andersen_t10_k100,euler,160,0.0625,13.63581442316652,0.0097431886558331515,13.084670137000783,0.55114428616573719,56.567136861890951
andersen_t10_k100,qe,320,0.03125,13.088813007818372,0.0092038015394859621,13.084670137000783,0.0041428708175885731,0.45012604843932291
andersen_t10_k100,euler,320,0.03125,13.340937716214569,0.0094509405306179503,13.084670137000783,0.25626757921378562,27.115563618622151
andersen_t10_k140,qe,10,1,0.21740146696919668,0.0015791996050441919,0.29577443581039731,-0.078372968841200624,-49.628285487702776
andersen_t10_k140,euler,10,1,4.5600941455168815,0.013503153748752468,0.29577443581039731,4.2643197097064842,315.80175928163868
andersen_t10_k140,qe,20,0.5,0.27075675570987706,0.0017279996244312934,0.29577443581039731,-0.025017680100520245,-14.477827278899948
andersen_t10_k140,euler,20,0.5,2.2191117965452793,0.006987081494382423,0.29577443581039731,1.923337360734882,275.27049201891163
andersen_t10_k140,qe,40,0.25,0.29179010937920491,0.0017512834005613434,0.29577443581039731,-0.0039843264311923976,-2.2750894743336749
andersen_t10_k140,euler,40,0.25,1.0560388343824576,0.0038437143912668685,0.29577443581039731,0.7602643985720603,197.79419623357632
andersen_t10_k140,qe,80,0.125,0.29650097687528343,0.0017515093926768694,0.29577443581039731,0.00072654106488612147,0.41480854623093583
andersen_t10_k140,euler,80,0.125,0.56956825204303407,0.0025063403755243036,0.29577443581039731,0.27379381623263677,109.24047623633784
andersen_t10_k140,qe,160,0.0625,0.29972290439092841,0.0017630878754763535,0.29577443581039731,0.0039484685805311059,2.2395188779029538
andersen_t10_k140,euler,160,0.0625,0.40241980473107408,0.0020523922955620892,0.29577443581039731,0.10664536892067678,51.961493497747604
andersen_t10_k140,qe,320,0.03125,0.29676628397066052,0.0017648736888112484,0.29577443581039731,0.00099184816026320899,0.56199385063714113
andersen_t10_k140,euler,320,0.03125,0.33920972760402535,0.0018782022598465543,0.29577443581039731,0.043435291793628039,23.125992723050299
