paths,estimate,std_error,abs_error,z_score
1024,10.299733471681479,0.45823746029042101,0.15085010050407099,-0.32919635249476431
2048,10.852015662968304,0.33429801598048953,0.40143209078275355,1.2008210386931586
4096,10.13713884888528,0.22588945138748254,0.31344472330026996,-1.3876023044679422
8192,10.36951775974123,0.16287022514566271,0.081065812444320429,-0.49773254977586823
16384,10.52113958092294,0.11547110996345819,0.07055600873738932,0.6110273709131
32768,10.420614599291158,0.081516866653165598,0.02996897289439282,-0.36764137441522987
65536,10.401574068814218,0.056983350691627133,0.04900950337133203,-0.86006706830128998
131072,10.448626397279421,0.040671481487453157,0.0019571749061295662,-0.048121554331217065
262144,10.460043433237654,0.028810840267315563,0.0094598610521039461,0.32834380963319831
524288,10.46484023476145,0.020348666260906461,0.014256662575899526,0.70061901812647065
1048576,10.444958133651097,0.01436589750857282,0.0056254385344534086,-0.39158281138344747
2097152,10.466337262263675,0.010174962860182031,0.015753690078124549,1.5482798605362884
4194304,10.445797274905257,0.0071804552914425035,0.0047862972802938941,-0.666572951996246
