product,model,price,std_error,closed_form
call_k100,black_scholes,10.456604153967319,0.014383354553462227,10.45058357218555
call_k100,heston,10.438785590299863,0.010835171337160233,10.450583572185549
call_k100,merton,10.449329645821367,0.013540455713749058,10.450583572185561
put_k80,black_scholes,0.68654924274327866,0.002611759796018907,0.68718940398487494
put_k80,heston,1.6857343111487557,0.0061226032706116389,1.6884603000262075
put_k80,merton,0.92877840049109606,0.0035086313587008948,0.93251866971086095
call_k120,black_scholes,3.2543734591143445,0.008475739757950811,3.2474774165608089
call_k120,heston,1.7651997178577299,0.0048903752312416176,1.7649581387880264
call_k120,merton,2.9487768022672665,0.007539440821787132,2.9494853360041375
digital_call_k100,black_scholes,0.53257457432518485,0.0004611248515003316,0.53232481545376342
digital_call_k100,heston,0.63874077570567034,0.00043629445577265984,0.63928241096791172
digital_call_k100,merton,0.55419589896312271,0.00045808439175758583,0.55511647656333862
up_and_out_call_k100_b130,black_scholes,3.554057241432278,0.0062105778055752915,nan
up_and_out_call_k100_b130,heston,7.3968711970865275,0.0081634228968506129,nan
up_and_out_call_k100_b130,merton,4.2252410042207913,0.0067120873048927034,nan
down_and_in_put_k100_b80,black_scholes,3.8163854540358533,0.0083601110111019717,nan
down_and_in_put_k100_b80,heston,4.9038507748854219,0.011445705933850173,nan
down_and_in_put_k100_b80,merton,3.9674930412185958,0.0090912229124041882,nan
asian_call_k100_monthly,black_scholes,6.1603281536665797,0.0083191491779851696,nan
asian_call_k100_monthly,heston,6.27901057112157,0.0066147214949051998,nan
asian_call_k100_monthly,merton,6.099976948390891,0.0077672161100826179,nan
