payoff,replication,estimate,std_error,z_score,covered_95
atm_call,0,10.251152027441423,0.14448043316158113,-1.3803360107668798,1
otm_digital_k130,0,0.1182378174654387,0.0031384862542131243,0.49887086299125072,1
atm_call,1,10.575880935281072,0.1485992389908434,0.84318980330203552,1
otm_digital_k130,1,0.11024749029963275,0.0030450848949580638,-2.1098353711970788,0
atm_call,2,10.680679510072343,0.14848814173622707,1.5495913356874844,1
otm_digital_k130,2,0.11918904688993943,0.0031492859124431982,0.79920618216387918,1
atm_call,3,10.361344334021334,0.14601833228560973,-0.61115092034927343,1
otm_digital_k130,3,0.11490851447968622,0.0031001613570789434,-0.56887478956537552,1
atm_call,4,10.545981993964583,0.14645523557811677,0.65138280241370095,1
otm_digital_k130,4,0.11937929277483958,0.0031514379572076335,0.85902838395875769,1
atm_call,5,10.41585248053372,0.14740006690939386,-0.23562466680004299,1
otm_digital_k130,5,0.11481339153723615,0.0030990541398500824,-0.59977222023200549,1
atm_call,6,10.449470816084862,0.1473008264466894,-0.0075543099623507706,1
otm_digital_k130,6,0.11833294040788879,0.0031395691888026246,0.52899687463456735,1
atm_call,7,10.271048719050016,0.14692727075435094,-1.2219300897224181,1
otm_digital_k130,7,0.12137687456629107,0.0031738774765284069,1.4823371354977191,1
atm_call,8,10.363304527938453,0.14622640771845991,-0.59687607463586023,1
otm_digital_k130,8,0.11700121921358779,0.0031243475905990978,0.10533434092442544,1
atm_call,9,10.308573629761652,0.14423751589012029,-0.98455621304572039,1
otm_digital_k130,9,0.11700121921358782,0.0031243475905990982,0.10533434092443431,1
atm_call,10,10.392422765971991,0.14768748332105161,-0.39380998921300381,1
otm_digital_k130,10,0.11538412919193661,0.0031056871515183796,-0.41471946932803849,1
atm_call,11,10.464276964509704,0.14551883374356764,0.094100481510757381,1
otm_digital_k130,11,0.11709634215603787,0.0031254391880825502,0.13573261586475224,1
atm_call,12,10.50177407479104,0.14855719146475585,0.34458448023119992,1
otm_digital_k130,12,0.11662072744378753,0.0031199744810246873,-0.01647150508385286,1
atm_call,13,10.300641619182812,0.14442014562373276,-1.0382343291177101,1
otm_digital_k130,13,0.11804757158053857,0.0031363183976645566,0.43855670465395752,1
atm_call,14,10.513905099889943,0.14943868361677881,0.42372915882191758,1
otm_digital_k130,14,0.11909392394748938,0.0031482089072394069,0.76926465159511681,1
atm_call,15,10.353450646328451,0.14473696298767078,-0.67109965451861653,1
otm_digital_k130,15,0.11842806335033888,0.0031406514618494345,0.55910222842481305,1
atm_call,16,10.393015079160811,0.14655357934634469,-0.39281533266880908,1
