payoff,greek,method,h,mean,sd,bias,rmse,exact
call,gamma,fd_independent,0.10000000000000001,0.018489496279038821,0.0015125802491386046,-0.00027252106680807422,0.0015369342022150507,0.018762017345846895
call,gamma,fd_crn,0.10000000000000001,0.018545505259944677,0.0001019577499376954,-0.00021651208590221793,0.00023931750064315609,0.018762017345846895
call,gamma,fd_independent,0.17782794100389229,0.017996732031321204,0.00049209666701549169,-0.00076528531452569118,0.00090984654877426547,0.018762017345846895
call,gamma,fd_crn,0.17782794100389229,0.018021912740300669,6.473516445326765e-05,-0.00074010460554622612,0.00074293032558075489,0.018762017345846895
call,gamma,fd_independent,0.31622776601683794,0.016407983253161,0.00016231092749299369,-0.0023540340926858951,0.0023596231365858281,0.018762017345846895
call,gamma,fd_crn,0.31622776601683794,0.016417588477813379,3.2434701264254234e-05,-0.0023444288680335157,0.002344653221078762,0.018762017345846895
call,gamma,likelihood_ratio,nan,0.018655930914310087,0.00067657289542983961,-0.00010608643153680805,0.00068483955331634469,0.018762017345846895
call,gamma,mixed,nan,0.018743064253081605,0.00015304798443309154,-1.8953092765290613e-05,0.00015421707189673114,0.018762017345846895
digital,delta,fd_independent,0.0001,0.015829995591668117,0.11918190862667569,-0.0029320217541787784,0.11921796884473519,0.018762017345846895
digital,delta,fd_crn,0.0001,0.018823633726482103,0.0039403781407524137,6.1616380635207829e-05,0.0039408598643547368,0.018762017345846895
digital,delta,fd_independent,0.00017782794100389227,0.017229819203518713,0.067270183130361386,-0.0015321981423281825,0.067287630137639054,0.018762017345846895
digital,delta,fd_crn,0.00017782794100389227,0.019232100191640369,0.0030763505831077182,0.00047008284579347359,0.0031120589313341235,0.018762017345846895
digital,delta,fd_independent,0.00031622776601683794,0.017721403603024311,0.038140514287317941,-0.001040613742822584,0.038154707534757165,0.018762017345846895
digital,delta,fd_crn,0.00031622776601683794,0.018847368947287668,0.0025949795157534797,8.5351601440773056e-05,0.0025963827882361009,0.018762017345846895
digital,delta,fd_independent,0.0005623413251903491,0.017688621891449749,0.021652971492827227,-0.0010733954543971462,0.021679560702899611,0.018762017345846895
digital,delta,fd_crn,0.0005623413251903491,0.018475051729304883,0.0017579729949790753,-0.00028696561654201203,0.0017812406676676335,0.018762017345846895
digital,delta,fd_independent,0.001,0.01846076849803031,0.012224679542263001,-0.00030124884781658479,0.012228390768181002,0.018762017345846895
digital,delta,fd_crn,0.001,0.018837241172560165,0.0014280888714213978,7.522382671327002e-05,0.0014300686867360706,0.018762017345846895
digital,delta,fd_independent,0.0017782794100389228,0.018637792586242898,0.0068562138037010613,-0.00012422475960399693,0.0068573390985833304,0.018762017345846895
digital,delta,fd_crn,0.0017782794100389228,0.018970655858790413,0.00087536272486725116,0.0002086385129435181,0.00089988328641568921,0.018762017345846895
digital,delta,fd_independent,0.0031622776601683794,0.018649428542820538,0.0038529770524260922,-0.00011258880302635749,0.0038546216941600072,0.018762017345846895
digital,delta,fd_crn,0.0031622776601683794,0.018893985346893058,0.00060845405402536721,0.00013196800104616283,0.00062260090680951036,0.018762017345846895
digital,delta,fd_independent,0.005623413251903491,0.018670650945385402,0.0022311754872614644,-9.1366400461492803e-05,0.0022330454258903294,0.018762017345846895
digital,delta,fd_crn,0.005623413251903491,0.01884850507794647,0.00048927986880236774,8.6487732099575082e-05,0.00049686509015928063,0.018762017345846895
digital,delta,fd_independent,0.01,0.018712279459507323,0.0012069385471896637,-4.9737886339572268e-05,0.0012079629605372111,0.018762017345846895
