h_rel,delta_fd,delta_abs_error,gamma_fd,gamma_abs_error
1e-14,0.63571428571428568,0.001116365461333424,14360968199.523266,14360968199.504503
1.333521432163324e-14,0.63563829787234039,0.0011923533032787148,-3981934369.4920778,3981934369.5108399
1.7782794100389227e-14,0.63600000000000001,0.00083065117561909041,0,0.018762017345846895
2.3713737056616553e-14,0.63622754491017963,0.0006031062654394681,-1261586004.8345942,1261586004.8533564
3.1622776601683796e-14,0.63820224719101126,0.0013715960153921625,0,0.018762017345846895
4.2169650342858228e-14,0.63552188552188549,0.0013087656537336123,398875081.78113347,398875081.76237148
5.6234132519034906e-14,0.63716814159292035,0.00033749041730124496,-449869784.61972797,449869784.63848996
7.4989420933245582e-14,0.63744075829383884,0.00061010711821973818,126445936.39435592,126445936.3755939
1e-13,0.63681592039800994,1.4730777609162082e-05,-142184284.54269215,142184284.56145418
1.333521432163324e-13,0.63692061800745869,8.9966831839594086e-05,-39946731.543275312,39946731.562037326
1.7782794100389227e-13,0.63678115015974446,4.9501015874642285e-05,-22446113.112841818,22446113.131603837
2.3713737056616554e-13,0.63690832834032352,7.7677164704414992e-05,0,0.018762017345846895
3.1622776601683792e-13,0.63696629213483147,0.00013564095921236863,-7107056.6017082687,7107056.6204702863
4.2169650342858226e-13,0.63683855746545337,7.9062898342696641e-06,0,0.018762017345846895
5.6234132519034904e-13,0.63670246367656347,0.00012818749905563198,2246507.939582767,2246507.9208207498
7.4989420933245579e-13,0.63672541216600342,0.00010523900961567634,0,0.018762017345846895
9.9999999999999998e-13,0.63687388987566607,4.3238700046965839e-05,1420832.83455811,1420832.8157960926
1.3335214321633241e-12,0.63685528559249782,2.4634416878721588e-05,399552.45793060545,399552.43916858808
1.7782794100389228e-12,0.63681224277780002,1.8408397819080768e-05,224694.37942544167,224694.36066342433
2.3713737056616554e-12,0.63683895131086143,8.3001352423339725e-06,126347.67291925811,126347.65415724076
3.1622776601683794e-12,0.63679361869452866,3.7032481090437663e-05,71054.597794694826,71054.579032677473
4.2169650342858224e-12,0.6368178065342297,1.2844641389397893e-05,39956.090191701216,39956.071429683871
5.6234132519034904e-12,0.63682827287315369,2.3783024654111529e-06,22469.053531511196,22469.03476949385
7.4989420933245587e-12,0.63682749341469425,3.1577609248545357e-06,-12635.489656891084,12635.50841890843
9.9999999999999994e-12,0.63682871719080847,1.9339848106314506e-06,0,0.018762017345846895
1.3335214321633241e-11,0.63683688910675851,6.2379311394078485e-06,0,0.018762017345846895
1.7782794100389227e-11,0.63682568096183734,4.9702137817630998e-06,0,0.018762017345846895
2.3713737056616552e-11,0.6368310660993588,4.1492373969997942e-07,0,0.018762017345846895
3.1622776601683794e-11,0.63683150919782228,8.5802220317621192e-07,-2131.6283545542506,2131.6471165715966
4.2169650342858228e-11,0.63683182697427398,1.1757986548843746e-06,-399.5689809133454,399.58774293069126
5.6234132519034906e-11,0.6368293102054019,1.3409702172006988e-06,0,0.018762017345846895
7.4989420933245581e-11,0.63683007669260983,5.7448300927465112e-07,252.70883534413676,252.69007332679092
1e-10,0.63683088243653441,2.3126091530656367e-07,-71.054160843834381,71.072922861180231
1.333521432163324e-10,0.63683066340218408,1.2226564982675825e-08,39.956736066635052,39.937974049289203
1.7782794100389229e-10,0.63683069445632046,4.3280701356174234e-08,-44.938660411970758,44.957422429316608
2.3713737056616552e-10,0.63683042429283532,2.268827837825782e-07,-12.63543360113804,12.654195618483886
3.1622776601683795e-10,0.63683072277109809,7.1595478989827654e-08,-7.105427848514168,7.1241898658600151
4.2169650342858224e-10,0.63683066968836621,1.8512747113064165e-08,-3.995676343969405,4.0144383613152517
5.623413251903491e-10,0.63683065356793123,2.3923121261759661e-09,0,0.018762017345846895
7.4989420933245586e-10,0.63683055893584728,9.2239771820601391e-08,0,0.018762017345846895
1.0000000000000001e-09,0.63683066963891422,1.8463295115012102e-08,0,0.018762017345846895
1.3335214321633239e-09,0.63683063928209216,1.1893526941086918e-08,0,0.018762017345846895
1.7782794100389228e-09,0.6368306709014967,1.9725877598020247e-08,0.22469335592794915,0.20593133858210225
2.3713737056616553e-09,0.63683064223599861,8.9396204883129826e-09,0,0.018762017345846895
3.1622776601683795e-09,0.63683064105393217,1.0121686933040053e-08,-0.14210855058411404,0.16087056792996093
4.2169650342858227e-09,0.63683064743028239,3.7453367074391508e-09,-0.039956755360617269,0.058718772706464167
5.623413251903491e-09,0.63683064951215973,1.6634593702491429e-09,0.022469334031779566,0.0037073166859326705
7.4989420933245577e-09,0.63683065154362839,3.680092897084819e-10,0.037906305188018311,0.019144287842171415
1e-08,0.63683065284758633,1.6719672313314504e-09,0.014210854585011532,0.0045511627608353627
1.333521432163324e-08,0.63683065551919837,4.3435792740353918e-09,0.01997837740101676,0.0012163600551698649
1.7782794100389228e-08,0.63683064654927202,4.6263470832030862e-09,0.017975467325049749,0.0007865500207971457
2.3713737056616551e-08,0.63683065313315745,1.9575383536363233e-09,0.017689609267760014,0.0010724080780868811
3.1622776601683792e-08,0.6368306504439033,7.3171579906272655e-10,0.018474111077813646,0.00028790626803324934
4.2169650342858225e-08,0.63683065232569591,1.1500768115624282e-09,0.018380106970367318,0.00038191037547957718
5.6234132519034905e-08,0.63683065192614952,7.5053041559414169e-10,0.018424854045742869,0.0003371633001040264
