scenario,start,end,trading_days,spot_return,vol_change,rate_change,loss,loss_spot_only,loss_vol_only
black_monday_1987,1987-10-16,1987-10-19,1,-0.12047844262333,1.1381999999999999,-0.005200000000000005,25.619605417559566,7.3616525044462664,25.06207570936688
tarp_vote_2008,2008-09-26,2008-09-29,1,-0.095876903517408782,0.11979999999999996,0.00069999999999999956,6.2447181243765204,5.1288497711754308,2.5503904372476072
october_2008_week,2008-10-03,2008-10-10,5,-0.16601174038618322,0.24810000000000001,-0.0025999999999999999,12.310357733628418,11.632409669567277,4.3362516138202025
volmageddon_2018,2018-02-02,2018-02-05,1,-0.038491627189485567,0.20010000000000003,0.00030000000000000024,4.8758697965295568,0.90379920802501346,4.3351589292988919
covid_2020_day,2020-03-13,2020-03-16,1,-0.13149153866485477,0.24859999999999999,-0.00040000000000000034,10.230939123951032,8.3796255389859873,5.4129796720164407
covid_2020_week,2020-03-06,2020-03-16,6,-0.21673688580974695,0.40749999999999997,-0.0021000000000000003,17.034507928627935,16.175151477316504,7.1105186293010973
