method,risk_factors,var99,var99_low,var99_high,es975,es975_low,es975_high
delta_normal,spot,0,nan,nan,0,nan,nan
delta_gamma_normal,spot,0.3608391345600343,nan,nan,0.36261924098879367,nan,nan
delta_gamma_cornish_fisher,spot,0.6521442897341696,nan,nan,nan,nan,nan
full_revaluation_mc,spot,0.61300006196238055,0.60898728932058166,0.61639702391869644,0.63083178151432562,0.62720637606122276,0.63381125507798719
full_revaluation_mc,spot+vol,1.3063385741469498,1.3008994587406431,1.3132228164997199,1.321471166710807,1.3170973128200856,1.3263434764175055
historical,spot,1.2000443224055264,1.0246188142449109,1.4566664175544828,1.6250871144375987,1.1930729539187253,2.0613873783917609
historical,spot+vol,2.2738603271638516,1.7564569060299053,2.5811762405320318,2.5545744243969741,2.0514713508610511,3.0406801156582763
historical_rescaled_to_20pct,spot,0.9668465169816356,0.82148223371446782,1.1801322070643865,1.329214517444602,0.96144890042517162,1.6999089244302708
