model,strike,call_price,implied_vol
black_scholes,60,42.937527459721487,0.19999999999999823
heston,60,43.31807467817962,0.32109901967196935
merton,60,42.987833519204393,0.24119955745409905
black_scholes,65,38.212194336731969,0.20000000000000542
heston,65,38.756139102788666,0.30520097996769113
merton,65,38.306514712257872,0.23462329149861655
black_scholes,70,33.540098355415921,0.20000000000000218
heston,70,34.266408739456764,0.28963355551552272
merton,70,33.691461328097169,0.22832877793053247
black_scholes,75,28.97437052224312,0.20000000000000009
heston,75,29.869248645653862,0.27430566580484317
merton,75,29.182661150570372,0.22233714625253168
black_scholes,80,24.588835443927749,0.20000000000000001
heston,80,25.590106339969086,0.25914915865561944
merton,80,24.834164709653734,0.21674544167853163
black_scholes,85,20.469287921382403,0.20000000000000048
heston,85,21.461159048938867,0.24412140841477761
merton,85,20.713556467742109,0.21166830721153723
black_scholes,90,16.699448408415989,0.19999999999999971
heston,90,17.523598205876336,0.22921316174810472
merton,90,16.896556552095213,0.20718228599282373
black_scholes,95,13.346464945879582,0.20000000000000001
heston,95,13.830599091800813,0.21446512370171561
merton,95,13.4563589271427,0.2033041630661146
black_scholes,100,10.45058357218555,0.19999999999999976
heston,100,10.450583572185549,0.19999999999999954
merton,100,10.450583572185561,0.20000000000000018
black_scholes,105,8.0213522351431834,0.20000000000000026
heston,105,7.4689346694131098,0.18607957487649787
merton,105,7.9105192880109909,0.19720635724597063
black_scholes,110,6.0400881297242321,0.20000000000000001
heston,110,4.9824852864917286,0.17318754483646825
merton,110,5.8363654597282606,0.19484953937108473
black_scholes,115,4.4665791494349563,0.20000000000000001
heston,115,3.0748289256953125,0.16207962982570104
merton,115,4.1994170749772053,0.19285788378351959
black_scholes,120,3.2474774165608089,0.20000000000000001
heston,120,1.7649581387880264,0.15361042986719264
merton,120,2.9494853360041375,0.19116771202225352
black_scholes,125,2.324274466015229,0.20000000000000001
heston,125,0.96594581515109468,0.14822590167606062
merton,125,2.0245707149957757,0.18972518474850789
black_scholes,130,1.639592915586114,0.20000000000000001
heston,130,0.52056176167792145,0.14562373928222472
merton,130,1.3600109064080061,0.18848601942627186
black_scholes,135,1.1413543494094611,0.20000000000000001
heston,135,0.28279377170755637,0.14505794357646681
merton,135,0.89538071386018725,0.18741431646556103
black_scholes,140,0.78496530391464781,0.20000000000000001
heston,140,0.15659918471949297,0.14580428352238903
merton,140,0.57859639849010502,0.18648115731949819
black_scholes,145,0.5339619909194484,0.20000000000000001
heston,145,0.088694357517390188,0.14734175396072213
merton,145,0.36752559552377606,0.18566327791332984
black_scholes,150,0.35962982615292027,0.20000000000000001
heston,150,0.051371682037949284,0.14933697225280554
merton,150,0.22980839983796136,0.18494192867548873
