method,days,exceptions,exception_rate,kupiec_lr,kupiec_p,christoffersen_lr,christoffersen_p,conditional_coverage_p,red_zone_windows,windows,exceptions_2008,exceptions_2020
delta_normal,8744,3511,0.40153247941445563,20662.282890669099,0,3.2589983147909152,0.071032504911114999,0,34,34,62,24
delta_gamma_normal,8744,1109,0.12682982616651417,3716.7769623766198,0,2.420098367699552,0.11978740825007667,0,34,34,28,13
mc_full_revaluation,8744,588,0.067246111619396157,1269.5895179629861,4.5909866186001669e-278,1.9624413394541307,0.16125246211171682,7.6913099078260435e-277,29,34,17,9
historical_full_revaluation,8744,118,0.013494967978042087,9.7247124721828868,0.0018180676011982598,17.328552258106669,3.144268711303152e-05,1.3349291146733112e-06,2,34,14,7
