payoff,regime,greek,method,exact,bias,sd,rmse,relative_rmse,seconds_per_estimate,efficiency
call,short,delta,pathwise,0.51935556926624071,-0.00052988875126469548,0.0017335680831627675,0.0018127438836408993,0.0034903715121453148,0.0027200610000000002,111878970.00934932
call,short,delta,likelihood_ratio,0.51935556926624071,-0.00054028058513944099,0.0050384217036246216,0.0050673066193229564,0.00975691206408392,0.00261795,14875935.421275891
call,short,gamma,fd_independent,0.14367135680809676,-0.0018937786403473988,0.016917062028942498,0.017022731426822316,0.11848382172348902,0.0070103140000000001,492270.75369091611
call,short,gamma,fd_crn,0.14367135680809676,-0.001449369720785576,0.0011741642814661782,0.0018652973884614337,0.012983084658641664,0.0040952760000000001,70181178.929908916
call,short,gamma,likelihood_ratio,0.14367135680809676,-0.00057297384412724472,0.0039991946707124797,0.0040400318117941904,0.028119953075897382,0.0023654980000000002,25900481.935575742
call,short,gamma,mixed,0.14367135680809676,-0.00010722782732083824,0.00083680850819186628,0.0008436505712285414,0.0058720860578731346,0.0023397869999999999,600479888.61232841
digital,short,delta,fd_independent,0.14367135680809678,-0.0031055257356559507,0.0012235165268307214,0.0033378560164047436,0.023232578090448118,0.0045446530000000001,19749862.368977401
digital,short,delta,fd_crn,0.14367135680809678,-0.0030243031363950124,0.00076756888953607581,0.0031201877284856359,0.021717535059220611,0.0033411199999999999,30743016.416933767
digital,short,delta,pathwise,0.14367135680809678,-0.14367135680809678,0,0.14367135680809678,1,0.0017384099999999999,27868.102683715639
digital,short,delta,likelihood_ratio,0.14367135680809678,-0.00010712390898212631,0.00080152275797588067,0.00080864965431815591,0.005628468139256714,0.0024883449999999999,614566093.5887605
digital,short,gamma,fd_independent,-0.0025142487441416933,-6.4390140315538375e-05,0.003812769682569544,0.0038133133548780536,1.5166810220202898,0.0066399730000000004,10356874.120042402
digital,short,gamma,fd_crn,-0.0025142487441416933,0.00032290589017840718,0.0020297835792743696,0.0020553076637340167,0.81746393173029164,0.0036138120000000001,65505951.76660037
digital,short,gamma,likelihood_ratio,-0.0025142487441416933,2.8072232462739675e-06,0.00056447575758764967,0.00056448273791720634,0.22451348110741834,0.0022285529999999999,1408236841.1379881
digital,short,gamma,mixed,-0.0025142487441416933,0.0025142487441416933,0,0.0025142487441416933,1,0.001573751,100518846.72189082
