case,technique,estimate,std_error,exact,variance_per_path,seconds_per_path,efficiency,efficiency_vs_plain
atm_call,plain,10.428395586977066,0.014690147373646488,10.45058357218555,215.80042985945278,3.9558452000000001e-08,117140.85945839946,1
atm_call,antithetic,10.441324777866994,0.010392462311103315,10.45058357218555,108.00327288770285,2.713427e-08,341228.22063737683,2.9129735108231651
atm_call,spot_control,10.443159457419611,0.0056112075200645479,10.45058357218555,31.485649833228937,4.0090552999999998e-08,792219.06933215575,6.7629610453173994
atm_call,antithetic+spot_control,10.44940020899322,0.0027581998106767907,10.45058357218555,7.607666195617484,2.7376417e-08,4801444.8392261816,40.988642745372132
itm_call_k70,plain,33.520218802845001,0.019935739226022809,33.540098355415921,397.43369848798449,2.6303391e-08,95658.500976779047,1
itm_call_k70,antithetic,33.536698599403074,0.0048053564110682092,33.540098355415921,23.091450237394341,1.7797684e-08,2433241.9721405846,25.436756245336213
itm_call_k70,spot_control,33.541752111536773,0.0009887144856649383,33.540098355415921,0.97755633416368359,3.0103828000000001e-08,33981025.562974662,355.23267891500308
itm_call_k70,antithetic+spot_control,33.540451614472119,0.00065234537026946779,33.540098355415921,0.42555448211200902,2.0462911000000001e-08,114835830.50062834,1200.4770023367244
otm_call_k160,plain,0.15689794671054072,0.0018527149552198076,0.15895425470111624,3.4325527052951341,2.6200670999999999e-08,11119118.838384097,1
otm_call_k160,antithetic,0.15911408875162647,0.0018730192381123333,0.15895425470111624,3.5082010663389056,1.7279784000000001e-08,16495945.54722474,1.4835659000495076
otm_call_k160,spot_control,0.15762346257265714,0.0017629525321516976,0.15895425470111624,3.1080016306200826,2.6492545999999999e-08,12144931.368366333,1.0922566387581945
otm_call_k160,antithetic+spot_control,0.15998200364221757,0.0014469382415239055,0.15895425470111624,2.0936302747842919,1.8994138999999999e-08,25146665.124343939,2.261569958002033
atm_straddle,plain,16.001528322946871,0.013213301017523098,16.024109594442514,174.59132377967694,3.7582191000000003e-08,152403.60734309984,1
atm_straddle,antithetic,16.008773140349025,0.016961838919465483,16.024109594442514,287.70397952989396,2.5404930999999999e-08,136815.75493908365,0.89771992490358898
asian_atm_12_fixings,plain,6.1396248545004113,0.0085073442140236252,nan,72.374905575881257,2.4135134299999998e-07,57248.257202837172,1
asian_atm_12_fixings,antithetic,6.1503962798336893,0.0059014485457689397,nan,34.827094938358336,1.45784372e-07,196957.16293143207,3.4404045215488419
asian_atm_12_fixings,geometric_control,6.1562458387820618,0.00023762174328555903,nan,0.05646409288206812,2.9777144199999999e-07,59476389.993888527,1038.920534875967
asian_atm_12_fixings,antithetic+geometric_control,6.1556753045300869,0.00024705997904282603,nan,0.061038633244641628,1.89420397e-07,86490509.807795331,1510.797254514657
