world,rebalances_per_year,mean_pnl,sd_pnl,mean_std_error,q01,q99,es99_loss
black_scholes,16,-0.0053212725208205466,1.596463233789795,0.011288699785277686,-4.4322299613317488,3.7687207222538017,5.5787702576780864
black_scholes,63,0.00094802804031966976,0.82269963202204632,0.0058173648868246625,-2.2108810254130602,2.0448693762757966,2.7958051981681691
black_scholes,252,0.0049960027929913707,0.41504956024685091,0.0029348435857904274,-1.1267357147104451,1.0615524587124348,1.4080150179687758
black_scholes,1008,-0.00024155094088020306,0.20815428632187571,0.0014718730739124455,-0.547113303606373,0.55070948781574869,0.68890703238169304
heston,16,-0.0055317126683410728,3.5331205452458918,0.024982934962928825,-12.117492255442924,5.3662435708583462,16.035177120572865
heston,63,-0.0075265255931243674,3.1017530697290163,0.021932706291715776,-10.524360577515834,4.8666855680670817,13.675622661496309
heston,252,-0.0056894790384146056,2.9620290637368094,0.020944708370399384,-10.264770552094255,4.710080425546777,12.854671048150362
heston,1008,-0.0073898557590545829,2.920703001663326,0.020652488983080419,-9.9889574716129879,4.6490976403257696,12.494218602943111
merton,16,0.0096218798711980424,3.0927067925704885,0.021868739452482897,-12.574850430784789,4.4743805256519691,16.04083050935095
merton,63,0.014625254548209831,2.870157810441456,0.020295080508386867,-12.328356101645262,3.1475883745912725,15.615116944592192
merton,252,0.020483733515772692,2.7939245412532268,0.019756029892436706,-12.109282287240816,2.4016699728031821,15.379716342799881
merton,1008,0.018450309177369402,2.7812632891574598,0.019666501320284416,-12.227645802533665,2.0329747694843023,15.344511160804716
