problem,method,n,greek,value,reference,relative_error
european_call_k100,crr,501,theta,-6.4076418833059821,-6.4140275464381968,-0.00099557775297687279
european_call_k100,crr,1000,delta,0.63687377604335904,0.63683065117561899,6.7717952426438188e-05
european_call_k100,crr,1000,gamma,0.018756811034661935,0.018762017345846895,-0.0002774920782232515
european_call_k100,crr,1000,theta,-6.4129280892455398,-6.4140275464381968,-0.00017141447938862076
european_call_k100,crr,1001,delta,0.63684565049064534,0.63683065117561899,2.3553067049597587e-05
european_call_k100,crr,1001,gamma,0.018747950540673214,0.018762017345846895,-0.00074974907625247056
european_call_k100,crr,1001,theta,-6.4108283367357437,-6.4140275464381968,-0.00049878328075303457
european_call_k100,crr,2000,delta,0.63685221762005617,0.63683065117561899,3.386527391135985e-05
european_call_k100,crr,2000,gamma,0.018759414008873945,0.018762017345846895,-0.00013875570654064973
european_call_k100,crr,2000,theta,-6.4134777878219751,-6.4140275464381968,-8.5711920044251322e-05
european_call_k100,crr,2001,delta,0.63683815048120906,0.63683065117561899,1.1775980908401706e-05
european_call_k100,crr,2001,gamma,0.018754976766366015,0.018762017345846895,-0.00037525706064001074
european_call_k100,crr,2001,theta,-6.4124263422275058,-6.4140275464381968,-0.00024964099375912596
european_call_k100,crr,5000,delta,0.63683927871502766,0.63683065117561899,1.3547619595266625e-05
european_call_k100,crr,5000,gamma,0.018760975967567709,0.018762017345846895,-5.5504600597555687e-05
european_call_k100,crr,5000,theta,-6.4138076357611595,-6.4140275464381968,-3.4285895320063098e-05
european_call_k100,crr,5001,delta,0.63683365081052479,0.63683065117561899,4.7102552307443091e-06
european_call_k100,crr,5001,gamma,0.018759199388826659,0.018762017345846895,-0.00015019477747468812
european_call_k100,crr,5001,theta,-6.4133866802575188,-6.4140275464381968,-9.9916343676120789e-05
european_call_k100,bbs,25,delta,0.63780602852606161,0.63683065117561899,0.0015316118164885317
european_call_k100,bbs,25,gamma,0.018341874876160617,0.018762017345846895,-0.022393245989577926
european_call_k100,bbs,25,theta,-6.3192126188748254,-6.4140275464381968,-0.01478243223573672
