date,vix,realized_loss,var_delta_normal,var_delta_gamma_normal,var_mc_full_revaluation,var_historical_full_revaluation
1991-12-24,15.67,0.13899014035436963,0,0.28281784589758713,0.48475995428551411,1.664790428789594
1991-12-26,15.44,0.085917682588914523,0,0.27861244942998964,0.47749428625659274,1.6734197193176543
1991-12-27,15.699999999999999,0.80243998303603892,0,0.28332162206083511,0.48565149261251683,1.6641924391775511
1991-12-30,17.629999999999999,0.36375123100295514,0,0.31850376291935051,0.54512975686396725,1.5989243944585452
1991-12-31,19.309999999999999,-0.18798486564045813,0,0.34910827840221337,0.59643714938766124,1.5493661211626542
1992-01-02,18.949999999999999,-0.06839918147105184,0,0.34255425851676202,0.5854538518426402,1.5594715695885313
1992-01-03,18.75,-0.0020260628326358443,0,0.33892009281739377,0.57934880717651538,1.5651244594067801
1992-01-06,18.960000000000001,-0.0086250114137227385,0,0.34276593010083251,0.58575608216073594,1.5589031572175642
1992-01-07,19.23,-0.090035782190204472,0,0.3477317092228524,0.59398678186866771,1.5508271259869506
1992-01-08,18.719999999999999,0.12392616631877207,0,0.33846981116730079,0.57842306311010283,1.5650416743663955
1992-01-09,18.960000000000001,-0.1851887352096071,0,0.34280253993869902,0.58575188867274619,1.558547037212243
1992-01-10,18.449999999999999,-0.19360255189972086,0,0.33347965081058967,0.57018718006104763,1.5736408634346581
1992-01-13,18.010000000000002,-0.18132233921138674,0,0.32546585176750176,0.55674536581143563,1.5868006619196793
1992-01-14,17.010000000000002,0.040634344976257175,0,0.30724480595998993,0.52616115487799497,1.6183866477129438
1992-01-15,17.390000000000001,-0.015697219681784169,0,0.31415424798703523,0.53778900517621686,1.6062623774818618
1992-01-16,17.640000000000001,-0.39165739804850741,0,0.31874880225543567,0.54543416315909177,1.5979617447993819
1992-01-17,16.32,0.056817852988618078,0,0.29469034977260294,0.5049441516854829,1.6414034463648211
1992-01-20,16.420000000000002,0.68936233735675145,0,0.29651371560295336,0.50809445782903584,1.6379479349399197
1992-01-21,17.920000000000002,0.19184460333682374,0,0.32387245846703933,0.5539923459170657,1.5890714309972935
1992-01-22,16.75,-0.1478921704334919,0,0.30256229957590436,0.51820233429583862,1.6263864370722745
1992-01-23,16.460000000000001,-0.13373988777585932,0,0.29725951158337038,0.50932050258235328,1.6363890576010869
1992-01-24,16.239999999999998,0.035797348533305851,0,0.29321479832464109,0.50236268033001519,1.6443776770703966
1992-01-27,16.670000000000002,0.12895280436613454,0,0.30103872001721987,0.51575098944482711,1.6297931676930322
1992-01-28,17.670000000000002,-0.056813923574698499,0,0.31926413060739922,0.54635238660800667,1.5973498992102169
1992-01-29,17.620000000000001,-0.074902470946677902,0,0.318329472411573,0.54482386840816943,1.5991565397806831
1992-01-30,17.489999999999998,-0.11473656430946644,0,0.31598442594785148,0.54084776842198501,1.6030039097083364
1992-01-31,17.399999999999999,0.099982326759337603,0,0.3143364789254271,0.53809491249686836,1.6059436669689626
1992-02-03,18.199999999999999,-0.042291430936722385,0,0.32889595306887631,0.56255255334221577,1.5813722250030917
1992-02-04,17.960000000000001,0.024354965329052014,0,0.32453960008144112,0.55521795563757248,1.5884804955836023
1992-02-05,18.219999999999999,0.025359733958594255,0,0.32927559573856341,0.56316280809623986,1.5806197272950149
1992-02-06,18.789999999999999,-0.15253249481376141,0,0.33967819917908876,0.58056707115916417,1.563683993163254
1992-02-07,18.510000000000002,-0.090880313894494691,0,0.33463185804594914,0.57201394443183151,1.5712828777411234
1992-02-10,18.559999999999999,-0.29378784877144515,0,0.33554957434127791,0.57353972089238958,1.5697490738187287
1992-02-11,17.699999999999999,0.090035252972367807,0,0.31987276097912076,0.54726725603385162,1.5957683328698886
1992-02-12,17.370000000000001,-0.011416453366249968,0,0.31386081826911888,0.53717600292123269,1.6061476224175193
1992-02-13,17.449999999999999,-0.17599928463454173,0,0.31528711099198475,0.53962377701431308,1.6039394348945351
1992-02-14,17.030000000000001,0.3689747443860707,0,0.30763348776429084,0.52677351922276383,1.6174704678328347
1992-02-18,18.219999999999999,-0.3038094496655015,0,0.32928324192318786,0.56316237665587021,1.5805432332432217
1992-02-19,17.16,0.011817901242999085,0,0.30995453986572569,0.53075167752331787,1.613747118667372
1992-02-20,16.719999999999999,-0.0465978788006014,0,0.30190889423436956,0.51728044038657828,1.6285560104182348
1992-02-21,16.870000000000001,0.013632450417020436,0,0.30460216060901912,0.52187180805102695,1.6239756527672338
1992-02-24,17.129999999999999,-0.2413261874518442,0,0.30930924396732057,0.52983018980117347,1.6157462800746378
