problem,method,n0,max_abs_error,n_at_max
american_put_k100,leisen_reimer,100,0.0031488016896084048,101
american_put_k100,leisen_reimer,200,0.0015652066038045476,201
american_put_k100,leisen_reimer,500,0.00058632419051196649,501
american_put_k100,leisen_reimer,1000,0.00028855044144471265,1001
american_put_k100,leisen_reimer,2000,0.00013746135872683141,2001
american_put_k100,leisen_reimer,5000,5.4132599184519847e-05,5001
american_put_k100,leisen_reimer,10000,2.6841124538989902e-05,10001
american_put_k100,bbs,50,0.0088402895391563874,51
american_put_k100,bbs,100,0.0048028700012521242,101
american_put_k100,bbs,200,0.0026652232618431526,201
american_put_k100,bbs,500,0.0011371041700609652,500
american_put_k100,bbs,1000,0.00060457614968534301,1000
american_put_k100,bbs,2000,0.00031530101228405272,2000
american_put_k100,bbs,5000,0.00013311496986201377,5000
american_put_k100,bbs,10000,6.7980611548890124e-05,10000
american_put_k100,bbs_richardson,50,0.0032671996619626498,50
american_put_k100,bbs_richardson,100,0.0010111738884130972,112
american_put_k100,bbs_richardson,200,0.00038272080926571306,200
american_put_k100,bbs_richardson,500,0.00013891886218164728,512
american_put_k100,bbs_richardson,1000,7.3544527621649536e-05,1002
american_put_k100,bbs_richardson,2000,3.4087371515667542e-05,2002
american_put_k100,bbs_richardson,5000,1.3365760816341776e-05,5002
american_put_k100,bbs_richardson,10000,6.4165942479377236e-06,10002
